sym,avg_vol
NCLH,0.9648466015625
COTY,0.9160164648437501
APA,0.8979502392578125
AAL,0.8940440283203125
RCL,0.8768322863769531
CCL,0.8740246972656249
KSS,0.8547377807617187
LB,0.79883013671875
UAL,0.7951680639648437
GPS,0.7915059912109375
TPR,0.7841818457031249
MRO,0.773439765625
UA,0.7539087109375
OXY,0.7504907763671875
DXC,0.7434107690429688
MGM,0.7397486962890625
UAA,0.7216824707031251
DVN,0.7158231542968749
BA,0.6781953567504884
WYNN,0.6633334448242189
FANG,0.6623568920898438
PVH,0.6578403356933595
AMD,0.6537510211181642
DISH,0.6523472265625001
EXPE,0.6496617065429688
VIAC,0.6416051464843752
DAL,0.6386754882812501
ALK,0.6367223828125002
NOV,0.6367223828125
SPG,0.6314734118652345
HWM,0.6303747900390626
MHK,0.6207313317871095
HBI,0.6108437353515626
NWSA,0.60937890625
LNC,0.5991251025390626
DXCM,0.5848582774353028
MOS,0.5820354296875001
NLSN,0.5817912915039063
FLS,0.5793499096679688
LYV,0.5762981823730469
CMA,0.5753216296386718
WDC,0.5711712805175782
HAL,0.570316796875
URI,0.5691266232299805
XRX,0.5688519677734375
RL,0.5650678259277344
LUV,0.5634809277343751
CARR,0.5622602368164064
GE,0.5566450585937501
HES,0.5432174584960938
ULTA,0.5420578021240234
IPGP,0.5416000430297851
HFC,0.5415084912109376
F,0.5400436621093752
MAR,0.5370529693603516
MPC,0.5358933129882812
XYL,0.5348557257080078
ABMD,0.5338791729736329
VNO,0.5336960693359376
TXT,0.5330857238769531
KIM,0.5317429638671876
REG,0.5288133056640625
MYL,0.5273484765625001
PXD,0.5272874420166016
IVZ,0.5258836474609376
NBL,0.5249070947265626
VTR,0.5202684692382813
FLIR,0.5197801928710939
VAR,0.5192308819580078
SLB,0.5185595019531251
OKE,0.5173388110351562
DRI,0.5172167419433594
HRB,0.5158739819335938
VFC,0.514531221923828
LVS,0.5141650146484376
WELL,0.513554669189453
SLG,0.5128222546386719
FTNT,0.5117236328125001
UNM,0.5117236328125
IT,0.5080615600585938
NVDA,0.5066425068664551
DISCK,0.5058643164062501
FCX,0.5043994873046875
CDW,0.5025074163818359
FRT,0.5019581054687501
APTV,0.5001270690917969
COG,0.49854017089843744
EOG,0.4981739636230469
KEY,0.49805189453125
TWTR,0.4975636181640625
DFS,0.49731947998046877
IPG,0.497075341796875
SYY,0.4965870654296875
AMP,0.49594620269775386
LEG,0.49585465087890623
HCA,0.49487809814453126
DISCA,0.49438982177734375
ALGN,0.4918111122131348
QRVO,0.491765336303711
AIG,0.49170430175781255
SYF,0.49048361083984376
CE,0.48969016174316404
RF,0.4887746435546875
COP,0.48816429809570316
TAP,0.48804222900390626
CTL,0.4877980908203125
FOXA,0.4841360180664063
FBHS,0.48389187988281257
LRCX,0.4837240348815918
GM,0.48364774169921876
HBAN,0.48242705078125003
FITB,0.48169463623046876
ROST,0.4806570489501953
NOW,0.4769492002868653
BKR,0.47681187255859375
AIV,0.4759573889160156
NWL,0.47461462890625
SIVB,0.4744620425415039
LW,0.4743704907226563
ZION,0.47437049072265625
AMZN,0.47421218236923224
J,0.4729666961669923
ALB,0.4727835925292969
NLOK,0.4721732470703125
KLAC,0.47211221252441404
EBAY,0.4718070397949219
LEN,0.47009807250976565
XRAY,0.4679008288574219
CFG,0.4670463452148438
WY,0.465825654296875
SWK,0.4650322052001954
INCY,0.4644218597412109
BKNG,0.4600922216415405
VLO,0.4598442687988281
AAP,0.4591118542480469
CINF,0.4587456469726563
DHI,0.4583794396972657
ZBRA,0.4567315069580078
WRK,0.4553277124023438
SEE,0.45337460693359377
HIG,0.45252012329101565
RJF,0.45178770874023444
HPE,0.45117736328125
WAB,0.45093322509765627
OMC,0.450200810546875
HPQ,0.4497125341796875
LYB,0.44861391235351566
HAS,0.44672184143066407
FTV,0.4459283923339844
FLT,0.4451807191467285
EXR,0.4447077014160157
GPN,0.4446466668701172
EVRG,0.4440363214111328
ALXN,0.4437921832275391
GRMN,0.44336494140625
REGN,0.4431970964050293
MU,0.44312080322265623
CBRE,0.44275459594726563
MLM,0.4395502822875977
AVY,0.43890941955566404
PYPL,0.4379633840942383
NEM,0.43774976318359377
STX,0.43652907226562504
TTWO,0.4364680377197266
ILMN,0.43575088180541993
RHI,0.43543045043945316
ESS,0.4350642431640625
OTIS,0.43494217407226565
HII,0.434301311340332
TT,0.4331111376953125
PRU,0.43262286132812505
MTB,0.4325618267822266
WRB,0.43140217041015627
WAT,0.4313106185913086
WFC,0.4304256176757813
AIZ,0.430120444946289
SNA,0.4275569940185547
PH,0.4246578530883789
TYL,0.42378811080932616
ATVI,0.42304043762207033
FB,0.4225521612548828
TDY,0.4221096607971191
PBCT,0.42090422851562503
TJX,0.4198056066894531
NI,0.4196835375976563
PWR,0.41882905395507813
IR,0.4187069848632813
IDXX,0.4175015525817871
NFLX,0.41640293075561524
TFX,0.413091806640625
AES,0.41309180664062495
CTVA,0.4126035302734375
BXP,0.41235939208984373
ZBH,0.4110166320800781
MSCI,0.41094033889770504
SNPS,0.4108030111694336
HSIC,0.4106504248046875
XLNX,0.41058939025878904
AME,0.4079649047851563
BEN,0.40796490478515623
TFC,0.4077207666015625
VRTX,0.40758343887329107
USB,0.40393662475585934
CDNS,0.4020445538330078
STT,0.40143420837402344
ATO,0.40076282836914057
GLW,0.4006407592773437
FFIV,0.4005492074584961
PHM,0.39917593017578124
CNC,0.398443515625
QCOM,0.39783317016601566
KEYS,0.3967955828857421
L,0.3963683410644532
RTX,0.3951476501464844
CAH,0.39514765014648434
DE,0.39514765014648434
UDR,0.3945373046875
BIO,0.3927978201293945
PRGO,0.3924621301269531
BBY,0.3920959228515625
NSC,0.3919433364868164
WU,0.39160764648437496
HUM,0.3911498873901367
ROL,0.3911193701171875
TSN,0.3909973010253906
VMC,0.3903259210205078
KSU,0.38944092010498044
GS,0.38852540191650387
WHR,0.38815919464111326
DOW,0.3879455737304688
MXIM,0.387152124633789
DTE,0.3870300555419922
CB,0.3869385037231445
KMX,0.385748330078125
JNPR,0.3855041918945312
AVB,0.38440557006835935
FDX,0.383093327331543
WST,0.3821472918701172
IFF,0.3817810845947266
SYK,0.38172005004882814
IRM,0.3811097045898437
ANSS,0.3810028941345215
CPRT,0.38086556640625
CNP,0.38062142822265627
DVA,0.3800721173095703
CI,0.3788209091186523
FMC,0.377935908203125
PNC,0.37738659729003904
PNR,0.37695935546875003
SBAC,0.3763947859191895
BAC,0.375982802734375
ALLE,0.3754945263671875
MCO,0.37459426681518554
TEL,0.3743348699951172
MAS,0.37354142089843745
ORLY,0.37334305862426753
VRSK,0.37293107543945314
BMY,0.3720155572509765
EQR,0.3719545227050781
CTXS,0.37164934997558596
HOLX,0.3706117626953125
ADBE,0.37006245178222646
RMD,0.36990986541748044
ETN,0.3698183135986328
DOV,0.3696962445068359
ANTM,0.36894857131958003
CRM,0.3687502090454101
AVGO,0.36786520812988277
NUE,0.36768210449218747
LH,0.3673464144897461
DD,0.3667055517578125
C,0.36670555175781244
PKG,0.3648134808349609
TROW,0.3645693426513671
GOOG,0.36379878150939937
ABC,0.3637758935546875
GPC,0.36194485717773434
AFL,0.3618227880859375
KHC,0.36157864990234373
GOOGL,0.36122388660430904
IP,0.36072416625976567
PKI,0.3606020971679687
SCHW,0.36035795898437495
DLTR,0.35999175170898434
JCI,0.35962554443359374
ETR,0.358404853515625
CAT,0.35785554260253905
COO,0.35742830078125
JKHY,0.35742830078125
INTU,0.35626864440917966
AXP,0.35608554077148435
EMN,0.35608554077148435
XOM,0.3547427807617187
MSI,0.3540103662109375
ODFL,0.35358312438964845
O,0.3530338134765625
TMUS,0.35297277893066403
EIX,0.35156898437499995
RE,0.350592431640625
FIS,0.3499820861816406
IQV,0.3488529470825195
PPG,0.34870036071777333
LHX,0.34839518798828123
DIS,0.34741863525390626
AAPL,0.3466709620666504
CSX,0.34656415161132803
MET,0.3455875988769531
ROK,0.34531294342041013
LDOS,0.3450382879638672
MKTX,0.34473311523437494
ISRG,0.3437870797729492
FTI,0.34375156250000005
CMG,0.34289444953918446
DGX,0.3425969061279297
MNST,0.34241380249023434
BSX,0.3421696643066406
LIN,0.34175768112182614
JPM,0.34131518066406247
BR,0.34101000793457026
SBUX,0.34064380065917965
LOW,0.33838552246093745
WBA,0.33765310791015624
EW,0.3366765551757812
ROP,0.33573051971435547
ECL,0.3354558642578125
CVX,0.33539482971191403
NRG,0.3343572424316406
BK,0.3337468969726562
UHS,0.3334367242431642
EMR,0.33215999877929686
EXPD,0.3321599987792968
EQIX,0.33181667945861815
MAA,0.33161068786621095
TSCO,0.3309393078613281
JBHT,0.3300237896728515
LLY,0.3290472369384766
MMC,0.32761292510986323
VRSN,0.32746033874511715
PSA,0.3265448205566406
APH,0.32623964782714837
PEAK,0.32446464599609376
MS,0.3242255078124999
PEG,0.32410343872070313
CBOE,0.32282171325683595
SHW,0.3217764966583252
CERN,0.32160102233886717
MSFT,0.3210822286987304
TGT,0.3208686077880859
UPS,0.32080757324218745
FRC,0.32050240051269524
AOS,0.32007515869140624
STE,0.3196479168701172
MA,0.3185798123168945
NOC,0.31836619140625
YUM,0.31818308776855464
CMI,0.3170539486694336
KMI,0.31690136230468746
CSCO,0.31629101684570315
AMT,0.31619946502685536
CVS,0.3161079132080078
A,0.3148261877441406
BLL,0.3133613586425781
ITW,0.3126594613647461
MO,0.3117744604492187
DPZ,0.31157609817504883
PPL,0.31128618408203124
CMCSA,0.3112861840820312
CCI,0.31058428680419914
CHD,0.30951618225097655
ALL,0.3073799731445312
GD,0.30643393768310545
ES,0.30573204040527335
MMM,0.3050911776733398
UNH,0.3035653140258789
SRE,0.3029549685668944
ABBV,0.30249720947265624
AZO,0.30167324310302734
CHRW,0.30145962219238276
TRV,0.3013985876464843
APD,0.30078824218749994
PFE,0.299811689453125
PAYX,0.29932341308593746
UNP,0.2988961712646484
CHTR,0.29807220489501945
DLR,0.2980416876220703
GWW,0.29750763534545893
ZTS,0.29715668670654294
KR,0.2965158239746093
PAYC,0.29483237396240236
TXN,0.29267064758300776
ARE,0.2925790957641601
STZ,0.29248754394531246
CME,0.29163306030273434
AEE,0.2912668530273437
PLD,0.2911447839355468
MDT,0.2899240930175781
LMT,0.288794953918457
HON,0.28778788391113275
BDX,0.28766581481933595
HD,0.2869944348144531
